FirstName,LastName,GenderAsString,CantonName,PartyName,DateNationalCouncilJoining,DateNationalCouncilLeaving,DateStateCouncilJoining,DateStateCouncilLeaving,DateFederalCouncilJoining,DateFederalCouncilLeaving
Adolf K. W.,Deucher,m,Thurgau,Demokraten,12/6/1869,4/1/1883,,,4/10/1883,7/12/1912
Adolf,Ogi,m,Bern,Schweizerische Volkspartei,12/1/1979,12/9/1987,,,12/9/1987,12/31/2000
Alain,Berset,m,Freiburg,Sozialdemokratische Partei der Schweiz,,,12/1/2003,12/31/2011,12/14/2011,
Albert,Meyer,m,Zürich,Freisinnig-Demokratische Partei der Schweiz,9/20/1915,12/5/1943,,,12/12/1929,12/31/1938
Alphons,Egli,m,Luzern,Christlichdemokratische Volkspartei der Schweiz,,,12/1/1975,12/8/1982,12/8/1982,12/31/1986
Arnold,Koller,m,Appenzell I.-Rh.,Christlichdemokratische Volkspartei der Schweiz,11/29/1971,12/31/1986,,,12/10/1986,4/30/1999
Camille,Decoppet,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,12/4/1899,7/1/1912,,,7/17/1912,12/31/1919
Ch.-E.-Constant,Fornerod,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,,,6/1/1853,7/12/1855,7/11/1855,10/31/1867
Christoph,Blocher,m,Zürich,Schweizerische Volkspartei,11/26/1979,5/31/2014,,,12/10/2003,12/31/2007
Daniel-Henri,Druey,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,,,,,11/16/1848,3/29/1855
Didier,Burkhalter,m,Neuenburg,FDP.Die Liberalen,12/1/2003,12/2/2007,12/3/2007,10/31/2009,9/16/2009,
Doris,Leuthard Hausin,f,Aargau,Christlichdemokratische Volkspartei der Schweiz,12/1/2003,6/14/2006,,,6/14/2006,
Edmund L.,Schulthess,m,Aargau,Freisinnig-Demokratische Partei der Schweiz,,,12/4/1905,7/1/1912,7/17/1912,4/15/1935
Eduard,Müller,m,Bern,Freisinnig-Demokratische Partei der Schweiz,12/1/1884,8/1/1895,,,8/16/1895,11/9/1919
Eduard,von Steiger,m,Bern,"Bauern-, Gewerbe- und Bürgerpartei",,,,,12/10/1940,12/31/1951
Elisabeth,Kopp,f,Zürich,Freisinnig-Demokratische Partei der Schweiz,11/26/1979,10/2/1984,,,10/2/1984,1/12/1989
Emil Joh. Rud.,Frey,m,Basel-Landschaft,Freisinnig-Demokratische Partei der Schweiz,12/2/1872,12/20/1890,,,12/11/1890,3/31/1897
Enrico,Celio,m,Tessin,Konservative,12/1/1924,9/1/1932,,,2/22/1940,10/15/1950
Ernest-L.,Chuard,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,4/2/1907,12/11/1919,,,12/11/1919,12/31/1928
Ernst,Brenner,m,Basel-Stadt,Freisinnig-Demokratische Partei der Schweiz,12/5/1887,3/1/1897,,,3/25/1897,3/11/1911
Ernst,Brugger,m,Zürich,Freisinnig-Demokratische Partei der Schweiz,,,,,12/10/1969,1/31/1978
Ernst,Nobs,m,Zürich,Sozialdemokratische Partei der Schweiz,12/1/1919,12/15/1943,,,12/15/1943,12/31/1951
Ernst,Wetter,m,Zürich,Freisinnig-Demokratische Partei der Schweiz,12/3/1929,12/15/1938,,,12/15/1938,12/31/1943
Eugène,Ruffy,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,1/23/1882,12/3/1893,,,12/14/1893,10/31/1899
Eveline,Widmer-Schlumpf,f,Graubünden,,,,,,12/12/2007,12/31/2015
F. F. Louis,Perrier,m,Neuenburg,Freisinnig-Demokratische Partei der Schweiz,12/1/1902,6/1/1912,,,3/12/1912,5/16/1913
Felix Ludw.,Calonder,m,Graubünden,Freisinnig-Demokratische Partei der Schweiz,,,12/4/1899,6/1/1913,6/12/1913,12/31/1919
Flavio,Cotti,m,Tessin,Christlichdemokratische Volkspartei der Schweiz,12/1/1983,12/10/1986,,,12/10/1986,4/30/1999
Fr. Emil,Welti,m,Aargau,Liberale,,,6/9/1857,12/2/1866,12/8/1866,12/31/1891
Friedrich A.,Frey-Hérosé,m,Aargau,Liberale,11/6/1848,12/1/1872,,,11/16/1848,12/31/1866
Friedrich Traugott,Wahlen,m,Bern,"Bauern-, Gewerbe- und Bürgerpartei",,,9/21/1942,6/1/1949,12/11/1958,12/31/1965
Friedrich Wilhelm,Hertenstein,m,Zürich,Liberale,12/2/1872,12/1/1878,12/2/1878,3/1/1879,3/21/1879,11/27/1888
Fritz,Honegger,m,Zürich,Freisinnig-Demokratische Partei der Schweiz,,,12/4/1967,12/7/1977,12/7/1977,12/31/1982
Georges-André,Chevallaz,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,12/7/1959,12/5/1973,,,12/5/1973,12/31/1983
Giovanni Battista,Pioda,m,Tessin,Freisinnig-Demokratische Partei der Schweiz,11/6/1848,12/6/1857,12/4/1854,7/1/1855,7/30/1857,1/26/1864
Giuseppe,Lepori,m,Tessin,Konservative,,,,,12/16/1954,12/31/1959
Giuseppe,Motta,m,Tessin,Konservative,12/4/1899,12/3/1911,,,12/14/1911,1/23/1940
Gustave,Ador,m,Genf,Liberale Partei der Schweiz,3/25/1889,6/1/1917,12/2/1878,9/1/1880,6/26/1917,12/31/1919
Guy,Parmelin,m,Waadt,Schweizerische Volkspartei,12/1/2003,12/31/2015,,,12/9/2015,
H. Arthur,Hoffmann,m,St. Gallen,Freisinnig-Demokratische Partei der Schweiz,,,3/16/1896,4/1/1911,4/4/1911,6/19/1917
H. Robert,Comtesse,m,Neuenburg,Freisinnig-Demokratische Partei der Schweiz,4/2/1883,12/3/1899,,,12/14/1899,3/4/1912
Hans,Hürlimann,m,Zug,Christlichdemokratische Volkspartei der Schweiz,,,2/27/1967,12/5/1973,12/5/1973,12/31/1982
Hans,Schaffner,m,Aargau,Freisinnig-Demokratische Partei der Schweiz,,,,,6/15/1961,1/31/1970
Hans,Streuli,m,Zürich,Freisinnig-Demokratische Partei der Schweiz,,,,,12/22/1953,12/31/1959
Hans-Peter,Tschudi,m,Basel-Stadt,Sozialdemokratische Partei der Schweiz,,,6/4/1956,12/17/1959,12/17/1959,12/31/1973
Hans-Rudolf,Merz,m,Appenzell A.-Rh.,Freisinnig-Demokratische Partei der Schweiz,,,9/22/1997,12/10/2003,12/10/2003,10/31/2010
Heinrich,Häberlin,m,Thurgau,Freisinnig-Demokratische Partei der Schweiz,12/5/1904,2/12/1920,,,2/12/1920,4/30/1934
Hermann,Obrecht,m,Solothurn,Freisinnig-Demokratische Partei der Schweiz,12/3/1917,12/2/1928,,,4/4/1935,7/31/1940
Jakob,Dubs,m,Waadt,Liberale,4/16/1849,12/5/1875,12/4/1854,7/1/1861,7/30/1861,5/28/1872
Jakob,Stämpfli,m,Bern,Freisinnig-Demokratische Partei der Schweiz,11/6/1848,5/15/1879,12/4/1854,12/21/1854,12/6/1854,12/31/1863
Jean,Bourgknecht,m,Freiburg,Konservativ-christlichsoziale Volkspartei der Schweiz,12/3/1951,12/4/1955,6/4/1956,12/17/1959,12/17/1959,9/30/1962
Jean-Jacques,Challet-Venel,m,Genf,Freisinnig-Demokratische Partei der Schweiz,12/7/1857,12/1/1878,,,7/12/1864,12/31/1872
Jean-Marie,Musy,m,Freiburg,Konservative,12/7/1914,12/3/1939,,,12/11/1919,4/30/1934
Jean-Pascal,Delamuraz,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,12/1/1975,12/7/1983,,,12/7/1983,3/31/1998
Joachim,Heer,m,Glarus,Liberale,12/7/1857,12/5/1875,,,12/10/1875,12/31/1878
Joh. Bernhard,Hammer,m,Solothurn,Liberale,12/1/1890,12/6/1896,,,12/10/1875,12/31/1890
Johann Jakob,Scherer,m,Zürich,Demokraten,12/6/1869,7/1/1872,,,7/12/1872,12/23/1878
Johann Ludwig,Forrer,m,Zürich,Demokraten,3/8/1875,6/30/1900,,,12/11/1902,12/31/1917
Johann N.,Schneider-Ammann,m,Bern,FDP.Die Liberalen,12/3/2007,10/31/2010,,,9/22/2010,
Johannes,Baumann,m,Appenzell A.-Rh.,Freisinnig-Demokratische Partei der Schweiz,,,12/4/1911,3/22/1934,3/22/1934,12/31/1940
Jonas,Furrer,m,Zürich,Liberale,,,11/6/1848,11/16/1848,11/16/1848,7/25/1861
Jos. Fridolin,Anderwert,m,Thurgau,Demokraten,12/7/1863,10/1/1874,,,12/10/1875,12/25/1880
Josef,Escher,m,Wallis,Konservative,12/7/1925,9/14/1950,,,9/14/1950,12/9/1954
Josef Martin,Knüsel,m,Luzern,Liberale,12/4/1854,12/4/1881,,,7/14/1855,12/31/1875
Joseph Anton,Schobinger,m,Luzern,Konservative,9/1/1888,6/1/1908,,,6/17/1908,11/27/1911
Joseph,Deiss,m,Freiburg,Christlichdemokratische Volkspartei der Schweiz,11/25/1991,3/11/1999,,,3/11/1999,7/31/2006
Joseph,Zemp,m,Luzern,Konservative,12/2/1872,12/1/1891,7/3/1871,12/1/1872,12/17/1891,6/17/1908
Karl,Kobelt,m,St. Gallen,Freisinnig-Demokratische Partei der Schweiz,12/4/1939,12/10/1940,,,12/10/1940,12/31/1954
Karl,Schenk,m,Bern,Freisinnig-Demokratische Partei der Schweiz,,,1/14/1857,12/23/1863,12/12/1863,7/18/1895
Karl,Scheurer,m,Bern,Freisinnig-Demokratische Partei der Schweiz,12/4/1911,11/1/1919,,,12/11/1919,11/14/1929
Kaspar,Villiger,m,Luzern,Freisinnig-Demokratische Partei der Schweiz,1/25/1982,11/29/1987,11/30/1987,2/1/1989,2/1/1989,12/31/2003
Kurt,Furgler,m,St. Gallen,Christlichdemokratische Volkspartei der Schweiz,12/16/1954,12/7/1971,,,12/8/1971,12/31/1986
L. Adrien,Lachenal,m,Genf,Freisinnig-Demokratische Partei der Schweiz,12/1/1884,12/1/1892,12/5/1881,6/29/1918,12/15/1892,12/30/1899
Leon,Schlumpf,m,Graubünden,Schweizerische Volkspartei,12/14/1966,5/31/1974,6/10/1974,12/5/1979,12/5/1979,12/31/1987
Louis-A.-J.,Ruchonnet,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,12/3/1866,12/4/1881,,,3/3/1881,9/14/1893
Ludwig,von Moos,m,Obwalden,Konservativ-christlichsoziale Volkspartei der Schweiz,,,6/7/1943,12/17/1959,12/17/1959,12/31/1971
Marc-Emile,Ruchet,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,,,6/6/1887,12/3/1899,12/14/1899,7/13/1912
Marcel-Edouard-Ernest,Pilet-Golaz,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,12/7/1925,12/13/1928,,,12/13/1928,12/31/1944
Markus,Feldmann,m,Bern,"Bauern-, Gewerbe- und Bürgerpartei",12/2/1935,12/13/1951,,,12/13/1951,11/3/1958
