Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,PartyAbbreviation,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath
0,"Giuseppe, lola",a Marca,m,Graubünden,GR,Ständerat,Mitte,MC,Konservative,Kons*,,,,,12/1/1849,7/1/1851,Soazza (GR),7/29/1799,7/16/1866
0,Alois,Ab Yberg,m,Schwyz,SZ,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/3/1928,12/1/1935,Schwyz (SZ),10/6/1878,10/17/1959
1,Fabio,Abate,m,Tessin,TI,Ständerat,FDP-Liberale Fraktion,RL,FDP.Die Liberalen,FDP-Liberale,verheiratet,Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,11/30/2015,,Cabbio (TI),1/4/1966,
0,Fabio,Abate,m,Tessin,TI,Nationalrat,Freisinnig-demokratische Fraktion,RL,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,12/3/2007,12/4/2011,Cabbio (TI),1/4/1966,
0,Fabio,Abate,m,Tessin,TI,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,12/1/2003,12/2/2007,Cabbio (TI),1/4/1966,
0,Fabio,Abate,m,Tessin,TI,Ständerat,FDP-Liberale Fraktion,RL,FDP.Die Liberalen,FDP-Liberale,verheiratet,Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,12/5/2011,11/29/2015,Cabbio (TI),1/4/1966,
0,Fabio,Abate,m,Tessin,TI,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Locarno,Tessin,Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001,9/25/2000,11/30/2003,Cabbio (TI),1/4/1966,
0,Alfred,Abegg,m,Thurgau,TG,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/2/1963,11/28/1971,Zürich (ZH),11/18/1914,8/13/1998
0,Johann Jakob,Abegg,m,Zürich,ZH,Nationalrat,Liberale demokratische Fraktion,LD,Liberale,Lib*,,,,,12/5/1887,2/17/1912,Küsnacht (ZH),7/23/1834,2/17/1912
0,Heinrich E.,Abt,m,Aargau,AG,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/4/1911,11/1/1919,Bünzen (AG),6/22/1854,11/15/1937
0,H. Roman,Abt,m,Aargau,AG,Nationalrat,"Bauern,-Gewerbe- und Bürgerfraktion",BGB,"Bauern-, Gewerbe- und Bürgerpartei",BGB,,,,,1/1/1919,3/27/1942,Bünzen (AG),1/15/1883,3/27/1942
0,H. Roman,Abt,m,Aargau,AG,Nationalrat,"Bauern,-Gewerbe- und Bürgerfraktion",BGB,"Bauern-, Gewerbe- und Bürgerpartei",BGB,,,,,1/1/1919,3/27/1942,Bünzen (AG),1/15/1883,3/27/1942
0,H. Roman,Abt,m,Aargau,AG,Nationalrat,"Bauern,-Gewerbe- und Bürgerfraktion",BGB,"Bauern-, Gewerbe- und Bürgerpartei",BGB,,,,,1/1/1919,3/27/1942,Bünzen (AG),1/15/1883,3/27/1942
0,Joseph,Ackermann,m,Freiburg,FR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/1/1947,12/2/1951,"Düdingen (FR),Plasselb (FR)",2/16/1901,5/4/1987
0,Walter,Ackermann,m,Appenzell A.-Rh.,AR,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1935,12/1/1963,Herisau (AR),11/15/1890,1/31/1969
0,Walter,Ackermann,m,Appenzell A.-Rh.,AR,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1935,12/1/1963,Herisau (AR),11/15/1890,1/31/1969
0,Alfred,Ackermann,m,Luzern,LU,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,9/14/1953,6/1/1970,Entlebuch (LU),4/2/1907,12/12/1997
0,Walter,Ackermann,m,Appenzell A.-Rh.,AR,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1935,12/1/1963,Herisau (AR),11/15/1890,1/31/1969
0,Peter,Acklin,m,Aargau,AG,Nationalrat,,,Konservative,Kons*,,,,,12/7/1863,12/2/1866,Herznach (AG),2/21/1821,12/2/1879
0,Jakob Josef,Adam,m,Basel-Landschaft,BL,Nationalrat,Linke,LG,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/7/1863,6/1/1868,Allschwil (BL),2/12/1828,1/21/1888
1,Jean-Luc,Addor,m,Wallis,VS,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,verheiratet,Lausanne,Waadt,Député au Grand Conseil: 2005-2015; Conseiller communal à Savièse: 2009-2015,11/30/2015,,"Ste-Croix (VD),Savièse (VS)",4/22/1964,
0,Jules-Henri,Addor,m,Waadt,VD,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/6/1943,11/30/1947,Vuiteboeuf (VD),9/21/1894,12/17/1953
0,Gustave,Ador,m,Genf,GE,Nationalrat,,,Liberale Partei der Schweiz,LPS,,,,,10/1/1902,6/1/1917,"Vuiteboeuf (VD),Genf (GE)",12/23/1845,3/31/1928
0,Gustave,Ador,m,Genf,GE,Bundesrat,,,Liberale Partei der Schweiz,LPS,,,,,6/26/1917,12/31/1919,"Vuiteboeuf (VD),Genf (GE)",12/23/1845,3/31/1928
0,Gustave,Ador,m,Genf,GE,Nationalrat,,,Liberale Partei der Schweiz,LPS,,,,,3/25/1889,2/1/1902,"Vuiteboeuf (VD),Genf (GE)",12/23/1845,3/31/1928
0,Gustave,Ador,m,Genf,GE,Ständerat,Mitte,MC,Demokraten,Dem*,,,,,12/2/1878,9/1/1880,"Vuiteboeuf (VD),Genf (GE)",12/23/1845,3/31/1928
0,Gustave,Ador,m,Genf,GE,Nationalrat,,,Liberale Partei der Schweiz,LPS,,,,,3/25/1889,2/1/1902,"Vuiteboeuf (VD),Genf (GE)",12/23/1845,3/31/1928
0,Ernst,Aebersold,m,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/1/1947,11/23/1958,Rubigen (BE),3/29/1887,11/23/1958
1,Andreas,Aebi,m,Bern,BE,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,verheiratet,Burgdorf,Bern,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,11/30/2015,,Wynigen (BE),11/26/1958,
0,Andreas,Aebi,m,Bern,BE,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,verheiratet,Burgdorf,Bern,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,12/5/2011,11/29/2015,Wynigen (BE),11/26/1958,
0,Andreas,Aebi,m,Bern,BE,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,verheiratet,Burgdorf,Bern,Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008,12/3/2007,12/4/2011,Wynigen (BE),11/26/1958,
1,Matthias,Aebischer,m,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Schwarzenburg,Bern,,11/30/2015,,Guggisberg (BE),10/18/1967,
0,Paul,Aebischer,m,Bern,BE,Nationalrat,Demokratische und Evangelische Fraktion,DE,Evangelische Volkspartei der Schweiz,EVP,,,,,12/4/1967,2/27/1971,Guggisberg (BE),11/2/1908,2/27/1971
0,Max,Aebischer,m,Freiburg,FR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/3/1951,11/24/1969,"Saint-Ours (FR),Heitenried (FR)",1/2/1914,2/28/2009
0,Matthias,Aebischer,m,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Schwarzenburg,Bern,,12/5/2011,11/29/2015,Guggisberg (BE),10/18/1967,
0,Pierre,Aeby,m,Freiburg,FR,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,"1978 à 1981 exécutif communal, 1992 à en fonction exécutif cantonal",12/4/1995,12/5/1999,Düdingen (FR),2/14/1950,
0,Paul,Aeby,m,Freiburg,FR,Nationalrat,,,Konservative,Kons*,,,,,2/14/1881,10/1/1881,Freiburg (FR),11/13/1841,7/18/1898
0,Pierre,Aeby,m,Freiburg,FR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/1/1931,11/30/1947,Freiburg (FR),5/6/1884,2/4/1957
0,Pierre,Aeby,m,Freiburg,FR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/1/1931,11/30/1947,Freiburg (FR),5/6/1884,2/4/1957
0,Pierre,Aeby,m,Freiburg,FR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/1/1931,11/30/1947,Freiburg (FR),5/6/1884,2/4/1957
